EndpointGroup,Endpoint,Pollutant,Metric,Seasonal Metric,Statistic,Study Author,Study Year,Study Location,Other Pollutants,Qualifier,Race,Ethnicity,Gender,Start Age,End Age,Function,Incidence DataSet,Prevalence DataSet,Variable DataSet,Beta,Distribution Beta,Parameter 1 Beta,Parameter 2 Beta,A,Name A,B,Name B,C,Name C,Baseline Functional Form,Reference
"Hospital Admissions, Respiratory","HA, Asthma",Ozone,D8HourMax,,None,Silverman,2010,"New York, New York",,0-1 day/Asthma Def #1,,,,50,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,0.002649,Normal,0.000876,0,0,0,0,0,0,0,Incidence*POP,"Silverman, R. A. and K. Ito. 2010. Age-related association of fine particles and ozone with severe acute asthma in New York City. J Allergy Clin Immunol. Vol. 125 (2): 367-373 e5. "
"Hospital Admissions, Respiratory","HA, Asthma",Ozone,D8HourMax,,None,Silverman,2010,"New York, New York",,0-1 day/Asthma Def #1,,,,0,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,0.003917,Normal,0.000638,0,0,0,0,0,0,0,Incidence*POP,"Silverman, R. A. and K. Ito. 2010. Age-related association of fine particles and ozone with severe acute asthma in New York City. J Allergy Clin Immunol. Vol. 125 (2): 367-373 e5. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",PM2.5,D24HourMean,,None,Slaughter et al.,2005,"Spokane, Washington",,1 day /Asthma Def #1 or 2,,,,0,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,0.002956,Normal,0.002714,0,0,0,0,0,0,0,Incidence*POP,"Slaughter, J. C., E. Kim, L. Sheppard, J. H. Sullivan, T. V. Larson and C. Claiborn. 2005. Association between particulate matter and emergency room visits, hospital admissions and mortality in Spokane, Washington. J Expo Anal Environ Epidemiol. Vol. 15 (2): 153-9."
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",PM2.5,D24HourMean,,None,Slaughter et al.,2005,"Spokane, Washington",,2 day /Asthma Def #1 or 2,,,,0,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,0,Normal,0.002553,0,0,0,0,0,0,0,Incidence*POP,"Slaughter, J. C., E. Kim, L. Sheppard, J. H. Sullivan, T. V. Larson and C. Claiborn. 2005. Association between particulate matter and emergency room visits, hospital admissions and mortality in Spokane, Washington. J Expo Anal Environ Epidemiol. Vol. 15 (2): 153-9."
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",PM2.5,D24HourMean,,None,Slaughter et al.,2005,"Spokane, Washington",,3 day /Asthma Def #1 or 2,,,,0,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,0.000995,Normal,0.002528,0,0,0,0,0,0,0,Incidence*POP,"Slaughter, J. C., E. Kim, L. Sheppard, J. H. Sullivan, T. V. Larson and C. Claiborn. 2005. Association between particulate matter and emergency room visits, hospital admissions and mortality in Spokane, Washington. J Expo Anal Environ Epidemiol. Vol. 15 (2): 153-9."
"Hospital Admissions, Respiratory","HA, Asthma",PM2.5,D24HourMean,,None,Slaughter et al.,2005,"Spokane, Washington",,1 day /Asthma Def #1 or 2,,,,0,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,0.000995,Normal,0.005068,0,0,0,0,0,0,0,Incidence*POP,"Slaughter, J. C., E. Kim, L. Sheppard, J. H. Sullivan, T. V. Larson and C. Claiborn. 2005. Association between particulate matter and emergency room visits, hospital admissions and mortality in Spokane, Washington. J Expo Anal Environ Epidemiol. Vol. 15 (2): 153-9."
"Hospital Admissions, Respiratory","HA, Asthma",PM2.5,D24HourMean,,None,Slaughter et al.,2005,"Spokane, Washington",,2 day /Asthma Def #1 or 2,,,,0,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,0.002956,Normal,0.004696,0,0,0,0,0,0,0,Incidence*POP,"Slaughter, J. C., E. Kim, L. Sheppard, J. H. Sullivan, T. V. Larson and C. Claiborn. 2005. Association between particulate matter and emergency room visits, hospital admissions and mortality in Spokane, Washington. J Expo Anal Environ Epidemiol. Vol. 15 (2): 153-9."
"Hospital Admissions, Respiratory","HA, Asthma",PM2.5,D24HourMean,,None,Slaughter et al.,2005,"Spokane, Washington",,3 day /Asthma Def #1 or 2,,,,0,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,0.00198,Normal,0.004969,0,0,0,0,0,0,0,Incidence*POP,"Slaughter, J. C., E. Kim, L. Sheppard, J. H. Sullivan, T. V. Larson and C. Claiborn. 2005. Association between particulate matter and emergency room visits, hospital admissions and mortality in Spokane, Washington. J Expo Anal Environ Epidemiol. Vol. 15 (2): 153-9."
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Strickland et al.,2010,"Atlanta, Georgia",,0-3 day/Both Seasons/Asthma Def #3,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.00206,Normal,0.00051,0,0,0,0,0,0,0,Incidence*POP,"Strickland MJ, Darrow LA, Klein M, Flanders WD, Sarnat JA, Waller LA, Sarnat SE, Mulholland JA, Tolbert PE. 2010. Short-term associations between ambient air pollutants and pediatric asthma emergency department visits. Am J Respir Crit Care Med. Aug 1;182(3):307-16. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Strickland et al.,2010,"Atlanta, Georgia",,0-3 day/Warm Season/Asthma Def #3,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.002699,Normal,0.000646,0,0,0,0,0,0,0,Incidence*POP,"Strickland MJ, Darrow LA, Klein M, Flanders WD, Sarnat JA, Waller LA, Sarnat SE, Mulholland JA, Tolbert PE. 2010. Short-term associations between ambient air pollutants and pediatric asthma emergency department visits. Am J Respir Crit Care Med. Aug 1;182(3):307-16. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Strickland et al.,2010,"Atlanta, Georgia",,0-3 day/Cold Season/Asthma Def #3,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.001475,Normal,0.000887,0,0,0,0,0,0,0,Incidence*POP,"Strickland MJ, Darrow LA, Klein M, Flanders WD, Sarnat JA, Waller LA, Sarnat SE, Mulholland JA, Tolbert PE. 2010. Short-term associations between ambient air pollutants and pediatric asthma emergency department visits. Am J Respir Crit Care Med. Aug 1;182(3):307-16. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",PM2.5,D24HourMean,,None,Strickland et al.,2010,"Atlanta, Georgia",,0-3 day/Both Seasons/Asthma Def #3,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.002152,Normal,0.001005,0,0,0,0,0,0,0,Incidence*POP,"Strickland MJ, Darrow LA, Klein M, Flanders WD, Sarnat JA, Waller LA, Sarnat SE, Mulholland JA, Tolbert PE. 2010. Short-term associations between ambient air pollutants and pediatric asthma emergency department visits. Am J Respir Crit Care Med. Aug 1;182(3):307-16. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",PM2.5,D24HourMean,,None,Strickland et al.,2010,"Atlanta, Georgia",,0-3 day/Warm Season/Asthma Def #3,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.004576,Normal,0.001436,0,0,0,0,0,0,0,Incidence*POP,"Strickland MJ, Darrow LA, Klein M, Flanders WD, Sarnat JA, Waller LA, Sarnat SE, Mulholland JA, Tolbert PE. 2010. Short-term associations between ambient air pollutants and pediatric asthma emergency department visits. Am J Respir Crit Care Med. Aug 1;182(3):307-16. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",PM2.5,D24HourMean,,None,Strickland et al.,2010,"Atlanta, Georgia",,0-3 day/Cold Season/Asthma Def #3,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.000542,Normal,0.001463,0,0,0,0,0,0,0,Incidence*POP,"Strickland MJ, Darrow LA, Klein M, Flanders WD, Sarnat JA, Waller LA, Sarnat SE, Mulholland JA, Tolbert PE. 2010. Short-term associations between ambient air pollutants and pediatric asthma emergency department visits. Am J Respir Crit Care Med. Aug 1;182(3):307-16. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Wilson et al.,2005,"Portland, Maine",,0 day /Asthma Def #1 or 2,,,,0,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,0.003,Normal,0.001,0,0,0,0,0,0,0,Incidence*POP,"Wilson AM, Wake CP, Kelly T, Salloway JC. 2005. Air pollution, weather, and respiratory emergency room visits in two northern New England cities; an ecological time-series study. Environ Res. Mar;97(3):312-21."
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Wilson et al.,2005,"Portland, Maine",,0 day /Asthma Def #1 or 2,,,,0,14,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,0.004,Normal,0.003,0,0,0,0,0,0,0,Incidence*POP,"Wilson AM, Wake CP, Kelly T, Salloway JC. 2005. Air pollution, weather, and respiratory emergency room visits in two northern New England cities; an ecological time-series study. Environ Res. Mar;97(3):312-21."
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Wilson et al.,2005,"Portland, Maine",,0 day /Asthma Def #1 or 2,,,,15,64,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,-0.001,Normal,0.002,0,0,0,0,0,0,0,Incidence*POP,"Wilson AM, Wake CP, Kelly T, Salloway JC. 2005. Air pollution, weather, and respiratory emergency room visits in two northern New England cities; an ecological time-series study. Environ Res. Mar;97(3):312-21."
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Wilson et al.,2005,"Portland, Maine",,0 day /Asthma Def #1 or 2,,,,65,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,-0.003,Normal,0.004,0,0,0,0,0,0,0,Incidence*POP,"Wilson AM, Wake CP, Kelly T, Salloway JC. 2005. Air pollution, weather, and respiratory emergency room visits in two northern New England cities; an ecological time-series study. Environ Res. Mar;97(3):312-21."
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Wilson et al.,2005,"Manchester, New Hampshire",,0 day /Asthma Def #1 or 2,,,,0,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,-0.001,Normal,0.002,0,0,0,0,0,0,0,Incidence*POP,"Wilson AM, Wake CP, Kelly T, Salloway JC. 2005. Air pollution, weather, and respiratory emergency room visits in two northern New England cities; an ecological time-series study. Environ Res. Mar;97(3):312-21."
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Wilson et al.,2005,"Manchester, New Hampshire",,0 day /Asthma Def #1 or 2,,,,0,14,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,0.002,Normal,0.006,0,0,0,0,0,0,0,Incidence*POP,"Wilson AM, Wake CP, Kelly T, Salloway JC. 2005. Air pollution, weather, and respiratory emergency room visits in two northern New England cities; an ecological time-series study. Environ Res. Mar;97(3):312-21."
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Wilson et al.,2005,"Manchester, New Hampshire",,0 day /Asthma Def #1 or 2,,,,15,64,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,-0.002,Normal,0.003,0,0,0,0,0,0,0,Incidence*POP,"Wilson AM, Wake CP, Kelly T, Salloway JC. 2005. Air pollution, weather, and respiratory emergency room visits in two northern New England cities; an ecological time-series study. Environ Res. Mar;97(3):312-21."
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Wilson et al.,2005,"Manchester, New Hampshire",,0 day /Asthma Def #1 or 2,,,,65,99,(1-(1/((1-Incidence)*EXP(Beta*DeltaQ)+Incidence)))*Incidence*POP,,,,NA,Normal,NA,0,0,0,0,0,0,0,Incidence*POP,"Wilson AM, Wake CP, Kelly T, Salloway JC. 2005. Air pollution, weather, and respiratory emergency room visits in two northern New England cities; an ecological time-series study. Environ Res. Mar;97(3):312-21."
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Byers Ritchey,2012,"Indianapolis, IN",,2 day/Asthma Def #2/df 45,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.00238,Normal,0.04,0,0,0,0,0,0,0,Incidence*POP,NA
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Byers Ritchey,2012,"Indianapolis, IN",,2 day/Asthma Def #2/df 55,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.00183,Normal,0.04,0,0,0,0,0,0,0,Incidence*POP,NA
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Byers Ritchey,2012,"Indianapolis, IN",,2 day/Asthma Def #2/df 60,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.00166,Normal,0.04,0,0,0,0,0,0,0,Incidence*POP,NA
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Byers Ritchey,2012,"Indianapolis, IN",,2 day/Asthma Def #2/Wheeze/df 45,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.0026,Normal,0.04,0,0,0,0,0,0,0,Incidence*POP,NA
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Byers Ritchey,2012,"Indianapolis, IN",,2 day/Asthma Def #2/Wheeze/df 55,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.00201,Normal,0.04,0,0,0,0,0,0,0,Incidence*POP,NA
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Byers Ritchey,2012,"Indianapolis, IN",,2 day/Asthma Def #2/Wheeze/df 60,,,,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.00183,Normal,0.04,0,0,0,0,0,0,0,Incidence*POP,NA
